X,Y,NAZIV,TIP,OPIS,DIONICA,PRAVAC,icon_url
16.2427827699352,43.6214892035803,Prgomet,CVR,,PRGOMET - VUČEVICA,A1,./0.png
15.2500589909122,45.4057657900084,Bosiljevo 2,CVR,,BOSILJEVO 2 - OGULIN,A1,./0.png
18.5514656686981,45.5750269201984,Osijek,CVR,,OSIJEK - ČEPIN,A5,./0.png
15.8873666166203,43.8362077678794,Skradin,CVR,,SKRADIN - ŠIBENIK,A1,./0.png
16.6658587229692,46.4089729797806,Goričan,CVR,,GORIČAN - ČAKOVEC,A4,./0.png
16.6856277040034,46.4076592225536,Goričan (stari izlaz granica),CVR,priključak za stari GP Goričan,GP GORIČAN - GORIČAN,A4,./0.png
16.5916387240836,45.5591870683138,Popovača,CVR,,POPOVAČA - KUTINA,A3,./0.png
15.5295136180692,44.238290071517,Maslenica,CVR,,MASLENICA - POSEDARJE,A1,./0.png
17.4123573704869,45.227627089919,Nova Gradiška,CVR,,N.GRADIŠKA - LUŽANI,A3,./0.png
16.6848854100685,43.5649931485677,Bisko,CVR,,BISKO - BLATO NA CETINI,A1,./0.png
16.8822001478827,45.3728083557364,Lipovljani,CVR,,KUTINA - LIPOVLJANI,A3,./0.png
17.5548454959799,43.122449440922,Kula Norinska,CVR,,KULA NORINSKA - PLOČE,A10,./0.png
16.0116220652861,45.733459558266,Velika Gorica sjever,CVR,priključak Velika Gorica sjever,VELIKA GORICA SJEVER - VELIKA GORICA JUG,A11,./0.png
17.3787177350825,43.1893757327474,Vrgorac,CVR,,VRGORAC - PLOČE,A1,./0.png
16.2176193016805,45.5637778682623,Lekenik,CVR,,BUŠEVEC - LEKENIK,A11,./0.png
16.1646213785181,45.7922562400135,Otok Svibovski,CVR,,OTOK SVIBOVSKI - RUGVICA,A3,./0.png
16.0099952218547,45.7446885004129,Veliko Polje,CVR,priključak Veliko Polje,VELIKO POLJE - VELIKA GORICA SJEVER,A11,./0.png
17.4900222618646,43.1458818788805,Ploče,CVR,A1/A10,PLOČE - ČCP KARAMATIĆI,A1,./0.png
16.0047449324613,45.7515186726195,Jakuševec,CVR,A3/A11,JAKUŠEVEC - VELIKO POLJE,A11,./0.png
